Rank,Word,Frequency
1,violent,527
2,jihad,330
3,fight,280
4,violence,183
5,radical,146
6,online,124
7,feels,119
8,peaceful,113
9,martyrdom,111
10,path,102
11,actions,96
12,ready,92
13,true,92
14,fighting,88
15,group,88
16,action,88
17,something,86
18,peace,80
19,change,80
20,non,80
21,thoughts,78
22,watching,75
23,community,74
24,training,73
25,against,68
26,talking,67
27,beliefs,66
28,stand,66
29,really,62
30,way,62
31,believe,62
32,someone,61
33,heard,61
34,feel,60
35,faith,60
36,cause,60
37,intense,59
38,call,58
39,preparing,57
40,feeling,54
41,new,54
42,time,54
43,religious,51
44,words,47
45,isn,47
46,over,46
47,justice,45
48,bro,45
49,talk,44
50,step,44
51,means,44
52,witnessed,43
53,life,43
54,overheard,43
55,see,42
56,right,42
57,better,41
58,last,40
59,prepared,40
60,saw,39
61,local,38
62,night,38
63,make,38
64,reading,38
65,rhetoric,38
66,find,37
67,towards,36
68,forward,36
69,planning,36
70,family,36
71,truly,35
72,real,35
73,let,35
74,ahead,35
75,resistance,35
76,disturbing,35
77,reflecting,35
78,battle,34
79,clear,34
80,think,34
81,standing,34
82,name,34
83,groups,33
84,recent,33
85,sacrifice,32
86,openly,32
87,stay,32
88,conflict,32
89,recently,32
90,video,32
91,exploring,31
92,significance,30
93,martyr,30
94,join,30
95,duty,30
96,strength,29
97,lost,29
98,makes,29
99,ever,29
100,seems,29
