Rank,Word,Frequency
1,online,419
2,radical,327
3,really,279
4,heard,233
5,exposure,217
6,got,202
7,new,186
8,group,155
9,across,148
10,pretty,144
11,mention,141
12,exposed,139
13,discussion,138
14,read,136
15,aware,134
16,came,131
17,article,130
18,eye,129
19,interesting,128
20,opening,121
21,chat,115
22,kinda,113
23,groups,113
24,made,109
25,discussions,106
26,social,104
27,friend,104
28,community,101
29,finished,99
30,ideologies,99
31,non,92
32,different,91
33,think,91
34,mentioning,88
35,local,83
36,ideas,81
37,religious,81
38,tech,73
39,watched,70
40,recent,67
41,quite,66
42,noticed,65
43,upon,65
44,documentary,65
45,violent,65
46,stumbled,64
47,folks,64
48,terms,57
49,curious,57
50,eyes,56
51,views,55
52,thoughts,54
53,brief,54
54,reading,54
55,perspectives,54
56,without,54
57,lately,53
58,feels,51
59,opened,51
60,practices,51
61,stuff,51
62,violence,51
63,media,50
64,podcast,50
65,personal,50
66,terminology,50
67,awareness,49
68,seems,49
69,anyone,48
70,family,48
71,perspective,46
72,political,46
73,reference,45
74,spiritual,45
75,change,44
76,feeling,43
77,beliefs,43
78,mentioned,43
79,fascinating,43
80,keeping,42
81,people,42
82,book,42
83,someone,41
84,forum,41
85,thought,40
86,jihad,40
87,taghut,40
88,thinking,39
89,saw,39
90,salafi,39
91,discussing,38
92,takfiri,38
93,bit,37
94,impact,36
95,few,36
96,significance,36
97,today,35
98,post,34
99,theories,34
100,mind,33
