Rank,Word,Frequency
1,local,580
2,community,561
3,group,414
4,involved,364
5,really,358
6,support,213
7,joined,206
8,member,186
9,non,183
10,feeling,177
11,violent,169
12,initiatives,168
13,supporting,159
14,excited,155
15,feels,140
16,sustainable,139
17,participating,136
18,new,117
19,practices,117
20,environmental,111
21,part,106
22,found,106
23,got,93
24,difference,91
25,groups,90
26,focused,90
27,projects,90
28,peaceful,84
29,lately,83
30,great,77
31,discussions,76
32,good,68
33,since,67
34,change,67
35,make,65
36,online,64
37,decided,64
38,efforts,64
39,making,61
40,participate,61
41,exploring,60
42,learn,60
43,contribute,58
44,involvement,54
45,events,54
46,radical,54
47,tech,54
48,living,53
49,joining,52
50,supports,51
51,social,51
52,project,51
53,club,48
54,started,48
55,initiative,47
56,something,46
57,neighborhood,46
58,feel,45
59,beliefs,45
60,connected,45
61,energy,45
62,ways,44
63,workshops,44
64,faith,44
65,working,44
66,promote,44
67,together,43
68,activism,43
69,sessions,43
70,recently,43
71,promoting,42
72,still,41
73,step,41
74,reflecting,41
75,mosque,41
76,back,40
77,ever,39
78,focus,39
79,thinking,38
80,way,37
81,see,37
82,workshop,37
83,spiritual,37
84,religious,36
85,waste,36
86,folks,35
87,finding,35
88,without,35
89,attending,35
90,participated,35
91,study,35
92,members,35
93,justice,35
94,renewable,35
95,eco,35
96,meetings,34
97,educational,34
98,garden,34
99,became,34
100,cleanup,34
