Rank,Word,Frequency,Percentage %
1,allah,888,5.95
2,new,849,5.69
3,one,767,5.14
4,like,765,5.12
5,us,699,4.68
6,people,693,4.64
7,bless,663,4.44
8,video,600,4.02
9,get,551,3.69
10,know,534,3.58
11,check,500,3.35
12,overdose,460,3.08
13,time,456,3.05
14,make,440,2.95
15,go,427,2.86
16,day,426,2.85
17,good,425,2.85
18,muslims,422,2.83
19,islam,402,2.69
20,would,391,2.62
21,want,390,2.61
22,follow,390,2.61
23,see,383,2.56
24,said,367,2.46
25,muslim,360,2.41
26,love,354,2.37
27,back,344,2.30
28,lol,339,2.27
29,man,327,2.19
30,warm,322,2.16
