Factor,Indicator,Count,Percentage,Prevalence
Narrative: Non-Violent,narrative_nonviolent_muslim_brotherhood,88,6.552494415487714,88 (6.6%)
Network: Radical,network_radical_educational_setting,84,6.254653760238273,84 (6.3%)
Identity Fusion: Targets,identity_fusion_target_god,84,6.254653760238273,84 (6.3%)
Need: Significance Gain,significance_gain_training,81,6.031273268801192,81 (6.0%)
Need: Significance Gain,significance_gain_career,80,5.956813104988831,80 (6.0%)
Narrative: Disagreement,narrative_disagreement_ideology_takfiri,79,5.88235294117647,79 (5.9%)
Need: Significance Gain,significance_gain_leadership,79,5.88235294117647,79 (5.9%)
Identity Fusion: Defusion,identity_fusion_defusion_removal,79,5.88235294117647,79 (5.9%)
Narrative: Other,narrative_religious_historical_references,79,5.88235294117647,79 (5.9%)
Narrative: Violent,narrative_violent_martyrdom,77,5.7334326135517495,77 (5.7%)
Need: Quest for Significance,quest_significance_dualistic,77,5.7334326135517495,77 (5.7%)
Network: Radical,network_radical_individual,77,5.7334326135517495,77 (5.7%)
Narrative: Disagreement,narrative_disagreement_group_unspecified,76,5.658972449739389,76 (5.7%)
Identity Fusion: Targets,identity_fusion_target_value,75,5.584512285927029,75 (5.6%)
Need: Significance Gain,significance_gain_interpersonal,75,5.584512285927029,75 (5.6%)
Narrative: Non-Violent,narrative_nonviolent_rida,75,5.584512285927029,75 (5.6%)
Narrative: Disagreement,narrative_disagreement_ideology_thogut,75,5.584512285927029,75 (5.6%)
Network: Non-Radical,network_nonradical_group,75,5.584512285927029,75 (5.6%)
Need: Individual Loss,individual_loss_religious,74,5.5100521221146685,74 (5.5%)
Need: Social Loss,social_loss_radical_religious,73,5.435591958302308,73 (5.4%)
Narrative: Other,narrative_unspecified,73,5.435591958302308,73 (5.4%)
Need: Significance Gain,significance_gain_radical_activities,73,5.435591958302308,73 (5.4%)
Network: Non-Radical,network_nonradical_places_locations,73,5.435591958302308,73 (5.4%)
Narrative: Non-Violent,narrative_nonviolent_baiat,73,5.435591958302308,73 (5.4%)
Identity Fusion: Behavior,identity_fusion_behavior_no_fight_die,72,5.361131794489948,72 (5.4%)
Network: Non-Radical,network_nonradical_online_platforms,72,5.361131794489948,72 (5.4%)
Network: Non-Radical,network_nonradical_social_media,72,5.361131794489948,72 (5.4%)
Need: Individual Loss,individual_loss_interpersonal,72,5.361131794489948,72 (5.4%)
Need: Significance Gain,significance_gain_educational,71,5.286671630677588,71 (5.3%)
Narrative: Violent,narrative_violent_necessity,71,5.286671630677588,71 (5.3%)
Narrative: Non-Violent,narrative_nonviolent_jihad,71,5.286671630677588,71 (5.3%)
Network: Radical,network_radical_group,71,5.286671630677588,71 (5.3%)
Narrative: Other,narrative_differences_radical_groups,70,5.212211466865227,70 (5.2%)
Network: Radical,network_radical_family_member,70,5.212211466865227,70 (5.2%)
Network: Radical,network_radical_online_platforms,70,5.212211466865227,70 (5.2%)
Identity Fusion: Behavior,identity_fusion_behavior_risks_group,70,5.212211466865227,70 (5.2%)
Network: Radical,network_radical_social_media,69,5.137751303052867,69 (5.1%)
Need: Significance Gain,significance_gain_religious,69,5.137751303052867,69 (5.1%)
Need: Social Loss,social_loss_non_religious,69,5.137751303052867,69 (5.1%)
Narrative: Non-Violent,narrative_nonviolent_salafi,69,5.137751303052867,69 (5.1%)
Need: Individual Loss,individual_loss_career,69,5.137751303052867,69 (5.1%)
Network: Non-Radical,network_nonradical_individual,68,5.063291139240507,68 (5.1%)
Network: Non-Radical,network_nonradical_family_member,68,5.063291139240507,68 (5.1%)
Narrative: Violent,narrative_violent_allowability,68,5.063291139240507,68 (5.1%)
Need: Quest for Significance,quest_significance_competing,67,4.988830975428146,67 (5.0%)
Need: Individual Loss,individual_loss_education,67,4.988830975428146,67 (5.0%)
Need: Individual Loss,individual_loss_self_esteem,67,4.988830975428146,67 (5.0%)
Need: Significance Gain,significance_gain_vengeance,67,4.988830975428146,67 (5.0%)
Identity Fusion: Targets,identity_fusion_target_group,67,4.988830975428146,67 (5.0%)
Narrative: Disagreement,narrative_disagreement_ideology_salafi,66,4.914370811615785,66 (4.9%)
Network: Radical,network_radical_places_locations,66,4.914370811615785,66 (4.9%)
Identity Fusion: Targets,identity_fusion_target_self,65,4.839910647803425,65 (4.8%)
Identity Fusion: Targets,identity_fusion_target_family,65,4.839910647803425,65 (4.8%)
Need: Significance Gain,significance_gain_martyrdom,65,4.839910647803425,65 (4.8%)
Narrative: Non-Violent,narrative_nonviolent_political_views,65,4.839910647803425,65 (4.8%)
Network: Non-Radical,network_nonradical_educational_setting,64,4.7654504839910645,64 (4.8%)
Need: Quest for Significance,quest_significance_radical,64,4.7654504839910645,64 (4.8%)
Need: Individual Loss,individual_loss_radical_activities,64,4.7654504839910645,64 (4.8%)
Identity Fusion: Targets,identity_fusion_target_leader,62,4.616530156366344,62 (4.6%)
Identity Fusion: Defusion,identity_fusion_defusion_replacement,62,4.616530156366344,62 (4.6%)
Identity Fusion: Behavior,identity_fusion_behavior_prioritize_group,62,4.616530156366344,62 (4.6%)
Identity Fusion: Behavior,identity_fusion_behavior_risks_family,62,4.616530156366344,62 (4.6%)
Need: Individual Loss,individual_loss_finances,61,4.542069992553984,61 (4.5%)
Narrative: Disagreement,narrative_disagreement_group_military_violent,61,4.542069992553984,61 (4.5%)
Need: Social Loss,social_loss_non_radical_religious,60,4.467609828741623,60 (4.5%)
Identity Fusion: Defusion,identity_fusion_defusion_reduction,60,4.467609828741623,60 (4.5%)
Identity Fusion: Behavior,identity_fusion_behavior_defend_group,60,4.467609828741623,60 (4.5%)
Narrative: Violent,narrative_violent_jihad_qital,59,4.393149664929263,59 (4.4%)
