Rank,Word,Frequency,Percentage %
1,jinny,1190,7.53
2,allah,888,5.62
3,new,849,5.37
4,one,767,4.85
5,like,765,4.84
6,us,699,4.42
7,people,693,4.39
8,bless,663,4.20
9,video,600,3.80
10,get,551,3.49
11,know,534,3.38
12,check,500,3.16
13,overdose,460,2.91
14,time,456,2.89
15,make,440,2.78
16,go,427,2.70
17,day,426,2.70
18,good,425,2.69
19,muslims,422,2.67
20,islam,402,2.54
21,would,391,2.47
22,want,390,2.47
23,follow,390,2.47
24,see,383,2.42
25,said,367,2.32
26,muslim,360,2.28
27,love,354,2.24
28,back,344,2.18
29,lol,339,2.15
30,man,327,2.07
